,date,num_employees,Employees
0,2021-10-29,,154000.0
0,2020-10-30,,147000.0
0,2019-10-31,,137000.0
0,2018-11-05,,132000.0
0,2017-11-03,,123000.0
0,2016-10-26,,116000.0
0,2015-10-28,,110000.0
0,2014-10-27,,92600.0
0,2013-10-30,,80300.0
0,2012-10-31,,72800.0
0,2011-10-26,,60400.0
0,2010-10-27,,46600.0
0,2009-10-27,,34300.0
0,2008-11-05,,32000.0
0,2007-11-15,,21600.0
0,2006-12-29,,17787.0
0,2005-12-01,,14800.0
0,2004-12-03,,11695.0
0,2003-12-19,,10912.0
0,2002-12-19,,10211.0
0,2001-12-21,,9603.0
